epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.108,1.19188,3.34097,1.3773,0.00912,0.87755,0.21654,0.13819,0.97638,3.35268,1.26037,0.0775,0.0025,0.0025
2,302.001,1.19193,2.48604,1.31637,0.72753,0.09524,0.31415,0.19127,1.1983,3.10252,1.41586,0.053999,0.00499902,0.00499902
3,447.046,1.24536,2.1659,1.38328,0.56978,0.2381,0.27787,0.16041,1.46829,2.98735,1.60576,0.0303951,0.00739508,0.00739508
4,615.744,1.19082,1.95912,1.32147,0.43192,0.29252,0.29835,0.18962,1.42707,2.80094,1.6964,0.009406,0.009406,0.009406
5,791.484,1.19589,1.92473,1.32093,0.44105,0.32653,0.30562,0.17726,1.4884,2.82383,1.57258,0.009208,0.009208,0.009208
6,942.774,1.22116,1.89745,1.32862,0.38553,0.41497,0.34189,0.20584,1.34828,2.67411,1.51647,0.00901,0.00901,0.00901
7,1107.96,1.28336,1.94662,1.39976,0.46853,0.34014,0.35761,0.21792,1.41866,3.30715,1.63885,0.008812,0.008812,0.008812
8,1260.29,1.28791,1.89566,1.36217,0.43551,0.38095,0.36185,0.23245,1.37622,2.66144,1.50708,0.008614,0.008614,0.008614
9,1427.03,1.25672,1.70439,1.31847,0.50754,0.29932,0.30989,0.18972,1.58514,2.68707,1.83081,0.008416,0.008416,0.008416
10,1602.42,1.24308,1.76974,1.3625,0.55829,0.40136,0.43775,0.28237,1.26556,2.29469,1.45738,0.008218,0.008218,0.008218
11,1798.86,1.20412,1.64281,1.30311,0.48532,0.37207,0.37614,0.23552,1.4325,2.63079,1.59576,0.00802,0.00802,0.00802
12,1983.41,1.16351,1.49564,1.26999,0.4976,0.31293,0.30936,0.18034,1.61933,2.50289,1.75489,0.007822,0.007822,0.007822
13,2142.01,1.21598,1.52816,1.31408,0.49903,0.40816,0.42853,0.26333,1.33606,2.06975,1.44132,0.007624,0.007624,0.007624
14,2295.74,1.16094,1.49975,1.25243,0.52273,0.33333,0.36374,0.22626,1.39497,2.18397,1.51145,0.007426,0.007426,0.007426
15,2457.37,1.14457,1.46643,1.29549,0.47499,0.44218,0.45933,0.28439,1.32078,2.07284,1.48095,0.007228,0.007228,0.007228
16,2622.82,1.13288,1.42351,1.26041,0.52431,0.5102,0.50534,0.32996,1.23725,1.93178,1.39218,0.00703,0.00703,0.00703
17,2782.94,1.11905,1.37483,1.23117,0.5746,0.52375,0.54273,0.34289,1.28645,1.79926,1.43956,0.006832,0.006832,0.006832
18,2951.14,1.13805,1.34674,1.26786,0.49046,0.47619,0.46997,0.28978,1.29496,2.10926,1.46383,0.006634,0.006634,0.006634
19,3107.73,1.07357,1.30535,1.22954,0.60047,0.51122,0.52953,0.34148,1.25567,1.98221,1.44608,0.006436,0.006436,0.006436
20,3267.32,1.05646,1.23661,1.21714,0.65678,0.49467,0.56119,0.36374,1.30356,1.78212,1.47398,0.006238,0.006238,0.006238
21,3430.3,1.10958,1.30236,1.23383,0.57241,0.48267,0.52519,0.33286,1.27696,1.7343,1.42631,0.00604,0.00604,0.00604
22,3648.24,1.10403,1.27112,1.22414,0.56697,0.54422,0.53954,0.36073,1.16429,1.72475,1.34408,0.005842,0.005842,0.005842
23,3881.55,1.03375,1.11387,1.18444,0.75304,0.47619,0.60964,0.41462,1.12713,1.52294,1.29311,0.005644,0.005644,0.005644
24,4069.1,1.01418,1.13441,1.17545,0.64621,0.51701,0.58199,0.38014,1.20203,1.66376,1.42006,0.005446,0.005446,0.005446
25,4259.31,0.98477,1.08194,1.15621,0.58114,0.51912,0.55575,0.36319,1.26975,1.61053,1.41373,0.005248,0.005248,0.005248
26,4430.92,1.0124,1.12637,1.20158,0.70115,0.54266,0.61987,0.40649,1.2041,1.57261,1.37464,0.00505,0.00505,0.00505
